customer_id,gender,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,churn,source
V54032,Female,10,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed Check,222.65,Yes,WGU
Z301326,Female,1,Yes,No,None,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic Check,139.98,Yes,WGU
J887250,Female,1,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank Transfer(automatic),200.13,Yes,WGU
Z686376,Male,5,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit Card (automatic),257.65,Yes,WGU
L357432,Male,11,No,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit Card (automatic),230.11,No,WGU
V899967,Female,4,Yes,Yes,None,No,Yes,No,Yes,No,No,Two year,No,Electronic Check,147.49,No,WGU
G571225,Female,5,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,230.11,Yes,WGU
S381541,Male,21,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic Check,174.96,Yes,WGU
R195593,Male,3,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed Check,267.66,Yes,WGU
I327596,Male,5,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed Check,162.48,Yes,WGU
U790894,Female,3,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit Card (automatic),229.99,Yes,WGU
O739489,Female,7,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic Check,140.0,No,WGU
I958127,Female,10,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit Card (automatic),184.96,No,WGU
Z666770,Male,16,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Two year,No,Electronic Check,147.47,No,WGU
X711438,Female,9,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed Check,172.46,No,WGU
U369541,Male,3,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic Check,107.48,No,WGU
S896111,Male,4,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit Card (automatic),255.14,Yes,WGU
K227200,Male,19,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic Check,192.46,No,WGU
E818912,Female,9,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit Card (automatic),242.63,Yes,WGU
Y490834,Female,10,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,245.17,Yes,WGU
B609739,Male,22,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),184.96,Yes,WGU
E687638,Female,9,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit Card (automatic),195.01,Yes,WGU
E492264,Female,8,Yes,No,None,No,No,No,No,Yes,No,Two year,No,Bank Transfer(automatic),104.96,No,WGU
W255321,Female,12,Yes,No,None,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic Check,92.49,No,WGU
S72442,Female,3,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank Transfer(automatic),184.98,Yes,WGU
O845020,Female,7,Yes,No,None,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),187.66,Yes,WGU
D805597,Female,5,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic Check,149.96,No,WGU
R189303,Female,2,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,One year,Yes,Credit Card (automatic),169.94,Yes,WGU
N142854,Male,12,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed Check,160.0,Yes,WGU
F522569,Female,14,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed Check,129.96,No,WGU
L384793,Male,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic Check,114.95,Yes,WGU
C101444,Female,7,Yes,No,None,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed Check,142.52,No,WGU
E987442,Male,16,Yes,Yes,None,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit Card (automatic),220.15,Yes,WGU
L54611,Female,7,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two year,Yes,Electronic Check,124.98,No,WGU
L85018,Female,3,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed Check,164.96,No,WGU
O942919,Male,2,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic Check,194.98,No,WGU
I167253,Female,8,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed Check,152.46,Yes,WGU
R110564,Male,12,Yes,No,None,No,No,Yes,No,No,No,Month-to-month,No,Mailed Check,92.5,No,WGU
M278354,Female,10,Yes,No,None,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic Check,127.49,No,WGU
W604879,Male,8,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank Transfer(automatic),184.96,No,WGU
X345797,Female,4,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank Transfer(automatic),265.15,Yes,WGU
N189653,Male,11,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank Transfer(automatic),207.61,Yes,WGU
M562102,Male,12,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic Check,152.46,No,WGU
X67911,Female,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),200.13,Yes,WGU
O834546,Female,24,Yes,No,None,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic Check,212.66,Yes,WGU
I493092,Male,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank Transfer(automatic),255.12,Yes,WGU
H787644,Female,8,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Two year,Yes,Bank Transfer(automatic),134.95,No,WGU
N582710,Male,9,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,255.14,Yes,WGU
T689606,Male,2,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank Transfer(automatic),214.97,Yes,WGU
E330599,Female,5,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic Check,270.16,Yes,WGU
C641592,Female,1,No,No,None,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic Check,200.17,Yes,WGU
E24772,Male,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank Transfer(automatic),149.94,No,WGU
A889769,Female,25,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed Check,240.11,Yes,WGU
G391761,Male,10,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit Card (automatic),127.5,No,WGU
A606860,Female,10,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic Check,187.61,Yes,WGU
E186097,Male,8,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit Card (automatic),169.99,No,WGU
I627613,Female,19,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Two year,No,Mailed Check,192.46,No,WGU
Z188641,Male,14,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit Card (automatic),120.0,No,WGU
A740543,Female,2,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,One year,No,Bank Transfer(automatic),195.01,No,WGU
W681476,Male,2,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,One year,Yes,Credit Card (automatic),139.96,No,WGU
G842176,Male,5,Yes,No,None,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank Transfer(automatic),114.98,No,WGU
Z852663,Female,4,Yes,Yes,None,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic Check,207.64,Yes,WGU
C73741,Female,4,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,187.61,Yes,WGU
W258972,Female,4,Yes,No,Fiber Optic,No,Yes,No,No,No,No,One year,Yes,Bank Transfer(automatic),134.95,No,WGU
G491883,Female,2,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed Check,192.47,Yes,WGU
C302549,Female,14,No,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed Check,222.63,Yes,WGU
K581313,Female,3,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic Check,162.47,No,WGU
T46150,Male,20,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic Check,159.98,Yes,WGU
B260505,Male,18,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed Check,184.98,No,WGU
W877056,Female,5,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),245.15,Yes,WGU
M478246,Female,7,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic Check,124.98,No,WGU
N417817,Male,13,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed Check,187.48,Yes,WGU
R180138,Male,20,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed Check,162.5,No,WGU
N931384,Male,7,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic Check,182.47,No,WGU
O967373,Male,14,No,No,None,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),222.66,Yes,WGU
G695985,Male,11,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,One year,Yes,Bank Transfer(automatic),182.47,No,WGU
P33478,Female,3,Yes,Yes,None,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed Check,220.16,Yes,WGU
K100436,Male,17,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic Check,169.94,No,WGU
L475907,Male,23,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed Check,204.96,Yes,WGU
A78095,Male,4,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic Check,204.96,Yes,WGU
X742990,Female,11,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit Card (automatic),245.13,Yes,WGU
P347346,Nonbinary,13,Yes,Yes,None,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),172.47,Yes,WGU
O235183,Male,15,No,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank Transfer(automatic),172.46,Yes,WGU
R776311,Male,9,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic Check,194.98,Yes,WGU
C25146,Male,5,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),137.44,No,WGU
E722502,Female,7,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit Card (automatic),192.47,Yes,WGU
D515341,Female,3,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed Check,159.95,Yes,WGU
U972291,Male,18,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),112.46,No,WGU
N374641,Male,13,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed Check,174.96,Yes,WGU
R736057,Female,23,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit Card (automatic),162.45,No,WGU
K401117,Female,6,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed Check,137.48,No,WGU
O17401,Female,13,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic Check,275.13,No,WGU
E779833,Male,7,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic Check,127.44,Yes,WGU
Q527077,Male,9,Yes,No,None,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic Check,210.14,Yes,WGU
Q765651,Female,22,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit Card (automatic),147.46,No,WGU
W400552,Male,5,Yes,Yes,None,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit Card (automatic),242.66,Yes,WGU
S979985,Male,10,Yes,No,None,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed Check,114.98,No,WGU
E351590,Female,8,Yes,No,None,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank Transfer(automatic),187.66,No,WGU
J227824,Female,8,Yes,Yes,None,No,No,Yes,No,Yes,No,Two year,No,Credit Card (automatic),149.99,No,WGU
S136858,Male,7,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank Transfer(automatic),124.96,No,WGU
N883325,Male,5,Yes,Yes,None,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,220.16,Yes,WGU
U700981,Male,10,No,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank Transfer(automatic),172.49,No,WGU
X267853,Male,4,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic Check,120.0,No,WGU
S985225,Male,5,Yes,Yes,None,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed Check,220.16,Yes,WGU
X645702,Female,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed Check,139.97,Yes,WGU
I703479,Female,3,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed Check,159.95,No,WGU
S370452,Female,9,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank Transfer(automatic),184.95,Yes,WGU
D333249,Male,10,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed Check,252.64,Yes,WGU
O698848,Male,9,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),112.46,No,WGU
M248356,Male,8,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic Check,179.98,No,WGU
E759213,Male,6,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One year,Yes,Bank Transfer(automatic),202.44,No,WGU
G106476,Male,7,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank Transfer(automatic),197.47,No,WGU
D873414,Female,15,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed Check,255.16,Yes,WGU
X906302,Female,12,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic Check,174.98,Yes,WGU
Z245249,Female,4,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic Check,169.99,No,WGU
T30358,Female,3,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),192.44,Yes,WGU
K974027,Male,3,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank Transfer(automatic),182.46,No,WGU
R464272,Male,5,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit Card (automatic),139.97,No,WGU
Q541158,Male,3,Yes,No,None,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic Check,137.46,Yes,WGU
O707075,Male,3,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank Transfer(automatic),217.47,Yes,WGU
L229402,Nonbinary,3,Yes,No,None,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed Check,210.14,Yes,WGU
Y259927,Male,16,No,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic Check,104.96,No,WGU
G820541,Male,12,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank Transfer(automatic),262.61,Yes,WGU
F672614,Female,7,Yes,No,None,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit Card (automatic),152.49,Yes,WGU
L686627,Female,6,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit Card (automatic),174.97,Yes,WGU
T660448,Female,15,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit Card (automatic),220.12,No,WGU
G864898,Male,6,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed Check,162.45,No,WGU
V847401,Female,3,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed Check,184.96,Yes,WGU
X852253,Male,19,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic Check,217.48,No,WGU
M482085,Female,14,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed Check,220.12,No,WGU
L535753,Female,8,Yes,No,None,No,No,No,Yes,Yes,Yes,One year,Yes,Bank Transfer(automatic),187.64,Yes,WGU
K265986,Male,6,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic Check,174.96,No,WGU
C695447,Male,20,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic Check,252.64,Yes,WGU
T484755,Male,15,Yes,No,None,Yes,Yes,Yes,Yes,No,No,One year,No,Credit Card (automatic),130.02,No,WGU
X999392,Female,3,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit Card (automatic),162.48,Yes,WGU
N995093,Female,12,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),182.47,Yes,WGU
D478815,Female,6,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed Check,139.93,No,WGU
I338069,Female,11,Yes,No,None,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed Check,200.17,Yes,WGU
T278739,Male,16,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed Check,202.68,Yes,WGU
R857699,Female,13,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Two year,No,Electronic Check,159.95,No,WGU
Q386914,Female,8,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed Check,149.95,No,WGU
T132275,Female,8,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic Check,149.96,Yes,WGU
T392167,Male,12,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic Check,137.47,No,WGU
J315269,Male,10,Yes,No,None,No,No,Yes,No,Yes,Yes,One year,Yes,Bank Transfer(automatic),187.66,Yes,WGU
B124449,Male,16,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed Check,164.99,Yes,WGU
P954849,Male,14,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit Card (automatic),159.97,Yes,WGU
K20948,Female,19,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic Check,172.46,No,WGU
M893176,Female,10,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic Check,204.95,Yes,WGU
P765785,Male,7,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,One year,No,Electronic Check,147.47,No,WGU
X780945,Female,13,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic Check,162.47,Yes,WGU
H776847,Male,9,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed Check,119.96,No,WGU
A471876,Female,4,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,One year,No,Bank Transfer(automatic),207.61,Yes,WGU
B424659,Female,3,Yes,Yes,None,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed Check,195.0,No,WGU
F111037,Nonbinary,6,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit Card (automatic),174.98,No,WGU
S690107,Female,16,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed Check,240.11,Yes,WGU
Q991854,Nonbinary,23,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),240.11,Yes,WGU
U560834,Male,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed Check,139.98,No,WGU
P452772,Male,13,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),240.11,Yes,WGU
B949126,Female,5,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank Transfer(automatic),209.99,Yes,WGU
F697244,Female,4,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed Check,147.46,No,WGU
F501848,Male,8,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed Check,107.5,No,WGU
Q971369,Female,2,Yes,No,None,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit Card (automatic),152.5,Yes,WGU
W186069,Female,6,Yes,No,None,No,No,No,No,No,No,One year,No,Bank Transfer(automatic),79.98,No,WGU
Y292243,Female,7,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed Check,142.48,No,WGU
F333860,Female,1,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank Transfer(automatic),117.44,No,WGU
Z534243,Female,12,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,220.13,Yes,WGU
O249806,Male,3,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic Check,152.46,Yes,WGU
V143753,Female,10,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic Check,174.96,No,WGU
A715491,Female,4,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),202.44,Yes,WGU
D986940,Male,3,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit Card (automatic),210.13,Yes,WGU
Z147347,Female,16,Yes,No,None,Yes,Yes,No,No,No,Yes,One year,No,Bank Transfer(automatic),139.98,No,WGU
W830673,Male,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed Check,139.97,No,WGU
Q470894,Male,4,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),137.44,No,WGU
I584048,Female,3,Yes,No,None,No,Yes,No,No,No,No,Month-to-month,No,Credit Card (automatic),102.47,No,WGU
J779175,Male,1,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,252.64,Yes,WGU
O82369,Male,19,Yes,Yes,None,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic Check,195.0,Yes,WGU
U528986,Nonbinary,12,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank Transfer(automatic),242.61,Yes,WGU
K33780,Female,14,Yes,No,None,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic Check,127.46,No,WGU
M720169,Male,4,Yes,No,None,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic Check,129.98,No,WGU
